rank	name	childcount	min	max	mode	median	mean	stddev
genus	Cryptobacterium	1	3	3	3	3	3	0
genus	Opitutus	1	1	1	1	1	1	0
genus	Variovorax	3	2	2	2	2	2	0
genus	Anaerococcus	1	4	4	4	4	4	0
genus	Sebaldella	1	4	4	4	4	4	0
genus	Kytococcus	1	2	2	2	2	2	0
genus	Caldilinea	1	2	2	2	2	2	0
genus	Brevundimonas	1	2	2	2	2	2	0
genus	Pseudoalteromonas	2	8	9		8.5	8.5	0.5
genus	Halomonas	2	4	6		5	5	1
genus	Asticcacaulis	1	3	3	3	3	3	0
genus	Methanopyrus	1	1	1	1	1	1	0
genus	Pseudomonas	70	4	7	4	5	5.01	1.09
genus	Cyclobacterium	1	3	3	3	3	3	0
genus	Acetobacterium	1	5	5	5	5	5	0
genus	Leptospira	7	2	2	2	2	2	0
genus	Niastella	1	3	3	3	3	3	0
genus	Desulfomonile	1	1	1	1	1	1	0
genus	Clavibacter	3	2	2	2	2	2	0
genus	Singulisphaera	1	8	8	8	8	8	0
genus	Helicobacter	56	1	2	2	2	1.93	0.26
genus	Zunongwangia	1	3	3	3	3	3	0
genus	Robiginitalea	1	2	2	2	2	2	0
genus	Thiomicrospira	1	3	3	3	3	3	0
genus	Haloterrigena	2	3	3	3	3	3	0
genus	Cellulophaga	4	4	5	4	4	4.25	0.43
genus	Legionella	10	3	4	3	3	3.1	0.3
genus	Ensifer	11	3	3	3	3	3	0
genus	Amphibacillus	1	6	6	6	6	6	0
genus	Francisella	19	1	3	3	3	2.89	0.45
genus	Waddlia	1	2	2	2	2	2	0
genus	Colwellia	1	9	9	9	9	9	0
genus	Megasphaera	1	7	7	7	7	7	0
genus	Methanococcus	7	2	4	3	3	2.86	0.64
genus	Cellulomonas	3	2	2	2	2	2	0
genus	Nitrosospira	3	1	1	1	1	1	0
genus	Caldanaerobacter	1	4	4	4	4	4	0
genus	Trueperella	1	2	2	2	2	2	0
genus	Desulfatibacillum	1	2	2	2	2	2	0
genus	Ferribacterium	1	4	4	4	4	4	0
genus	Pseudonocardia	1	3	3	3	3	3	0
genus	Dehalobacter	3	3	4	3	3	3.33	0.47
genus	"Candidatus Korarchaeum"	1	1	1	1	1	1	0
genus	Methanosalsum	1	3	3	3	3	3	0
genus	Catenulispora	1	3	3	3	3	3	0
genus	Verrucosispora	1	3	3	3	3	3	0
genus	Azospira	1	2	2	2	2	2	0
genus	Clostridium XI	2	10	11		10.5	10.5	0.5
genus	Halobacterium	2	1	1	1	1	1	0
genus	Parabacteroides	1	7	7	7	7	7	0
genus	Amycolatopsis	7	3	4	4	4	3.86	0.35
genus	Bradyrhizobium	6	1	2	2	2	1.67	0.47
genus	Pelobacter	1	2	2	2	2	2	0
genus	Phenylobacterium	1	1	1	1	1	1	0
genus	Vulcanisaeta	2	1	1	1	1	1	0
genus	Taylorella	3	3	3	3	3	3	0
genus	Methanothrix	3	1	2	2	2	1.67	0.47
genus	Roseburia	2	1	4		2.5	2.5	1.5
genus	Escherichia/Shigella	75	6	7	7	7	6.99	0.11
genus	Tolumonas	1	8	8	8	8	8	0
genus	Achromobacter	4	1	3	3	3	2.5	0.87
genus	Sulfolobus	17	1	1	1	1	1	0
genus	Pelagibacterium	1	2	2	2	2	2	0
genus	Candidatus Pelagibacter	3	1	1	1	1	1	0
